PlayerId,Name,count,EPA,SoloTackle,AssistedTackle,SoloSack,AssistedSack,Pressure,PassBreakup,Interception,ForcedFumble,LeftSide,RightSide,Tech0,Tech1,Tech2,Tech2i,Tech3,Tech4,Tech4i,Tech5,Tech6,Tech7,Tech9,TechOff,TechOutside,DT,DE,RosterLB,DEBinary,DTBinary,RosterLBBinary,DER,DEL,RosterLBR,RosterLBL,DTR,DTL,DominantSide,DERPrediction,DELPrediction,DE,RosterLBRPrediction,RosterLBLPrediction,LB,DTRPrediction,DTLPrediction,MaxProb,SecondPRob
558,Markus Golden,456,-0.003649498,18,19,4,0,34,1,0,0,370,81,0,0,0,0,3,2,2,16,12,36,166,5,214,0,0,456,0,0,1,0,0,0,1,0,0,L,0.278208556,0.095669291,0.186938924,0.373905273,0.170516185,,-1.05E-15,-7.49E-16,0.373905273,0.278208556
588,Mike Daniels,126,0.006870056,4,3,1,0,6,0,0,0,88,25,13,8,2,5,59,6,16,9,1,6,1,0,0,126,0,0,0,1,0,0,0,0,0,0,1,L,0.182003546,0.066936208,0.124469877,2.78E-16,-2.22E-16,,0.150564972,0.230493482,0.230493482,0.182003546
597,Clay Matthews,350,-0.043921391,9,9,2,0,21,2,0,0,250,90,0,0,0,0,0,0,0,0,0,1,0,10,339,0,0,350,0,0,1,0,0,0,1,0,0,L,0.006703911,0.004086538,0.005395225,0.342655367,0.604933333,,-1.05E-15,-8.05E-16,0.604933333,0.342655367
696,Ezekiel Ansah,166,0.065599265,3,4,1,1,9,2,0,1,52,110,0,0,0,0,1,3,5,11,7,33,73,4,29,0,166,0,1,0,0,1,0,0,0,0,0,R,0.377363897,0.267497692,0.322430794,0.057579909,0.144344473,,-1.05E-15,0.001237624,0.377363897,0.322430794
709,DeMarcus Lawrence,348,-0.056315963,20,11,1,1,27,1,0,0,324,21,0,0,0,0,5,5,11,2,115,26,168,3,13,0,348,0,1,0,0,0,1,0,0,0,0,L,0.473500882,0.325696316,0.399598599,0.013926941,0.073013566,,0.002824859,0.012737127,0.473500882,0.399598599
714,Tahir Whitehead,31,0.058586419,3,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31,0,0,1,0,0,0,1,0,0,L,0.009803922,0.004010695,0.006907308,0.021950048,0.315764554,,9.58E-04,0.005602241,0.315764554,0.021950048
719,Kyle Van Noy,375,-0.051797552,20,11,2,0,22,1,0,1,265,42,0,0,0,0,0,0,0,0,0,0,0,68,307,0,0,375,0,0,1,0,0,0,1,0,0,L,0.028865058,0.056786942,0.042826,0.547298535,0.481255646,,-1.05E-15,-8.88E-16,0.547298535,0.481255646
740,K.J. Wright,35,0.067576286,1,1,0,0,0,1,0,0,24,11,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,35,0,0,1,0,0,0,1,0,0,L,0.01971831,0.033706816,0.026712563,0.039804469,0.183926876,,0.002702703,-1.03E-15,0.183926876,0.039804469
748,Bruce Irvin,390,0.151061772,11,13,5,0,24,0,0,1,324,61,0,0,0,0,12,1,0,9,52,20,69,5,222,0,0,390,0,0,1,0,0,0,1,0,0,L,0.274933687,0.057789855,0.166361771,0.385921053,0.382112676,,-1.05E-15,0.029278075,0.385921053,0.382112676
753,Michael Bennett,396,-0.065792364,20,6,4,0,26,0,0,0,331,62,2,6,6,7,24,40,43,47,38,17,151,1,14,0,396,0,1,0,0,0,1,0,0,0,0,L,0.445586975,0.710789715,0.578188345,0.046753247,6.72E-04,,0.055411877,0.054891304,0.710789715,0.578188345
755,Frank Clark,265,-0.197557962,8,7,4,0,19,1,0,1,88,170,0,2,0,0,1,2,0,4,11,4,113,7,121,0,265,0,1,0,0,1,0,0,0,0,0,R,0.269489247,0.091788144,0.180638696,0.29175485,0.27800789,,0.004675325,0.016032609,0.29175485,0.27800789
759,Vic Beasley Jr,339,-0.093911402,16,6,6,1,18,1,0,2,182,140,0,0,0,0,0,1,1,7,7,36,131,17,139,0,0,339,0,0,1,0,0,0,1,0,0,L,0.392609127,0.033024691,0.212816909,0.460781671,0.236647454,,-1.05E-15,-8.60E-16,0.460781671,0.392609127
