Name,coef.EPAridge.
Stephen Weatherly,-0.00118253
Stephon Gilmore,-0.181048602
Stephone Anthony,0.142271581
Steve Longa,0.077440651
Steve McLendon,-0.007582713
Sylvester Williams,0.01863553
T.J. Carrie,-0.112120195
T.J. Edwards,-0.040933297
T.J. Watt,-0.024692103
Taco Charlton,0.027349643
Tahir Whitehead,0.030243876
Takkarist McKinley,-0.096393541
Tanner Vallejo,-0.084167742
Tanoh Kpassagnon,-0.031023254
Tanzel Smart,-0.023873234
Tarell Basham,-0.02153062
Taron Johnson,0.08047131
Tarvarius Moore,-0.402929068
Tashaun Gipson,0.103464773
Taven Bryan,-0.005353077
Tavon Wilson,-0.009067969
Taylor Rapp,-0.195784342
Taylor Stallworth,-0.003807762
Terrell Edmunds,-0.024207993
Terrell McClain,0.054257596
Terrell Suggs,0.011661312
Terrence Brooks,-0.055996602
Thomas Davis Sr,0.265280641
Tim Settle,-0.009548683
Timmy Jernigan,0.008478962
Todd Davis,-0.003308635
Tracy Walker,-0.434502217
Trae Waynes,0.047145824
Tramaine Brock Sr,-0.266797804
Tramon Williams,0.370458766
Trayvon Mullen,0.10379212
Tre'Davious White,0.033881206
Tre Boston,0.048431439
Tre Flowers,-0.590272078
Tre Herndon,-0.09058963
Tremaine Edmunds,0.295726365
Trent Harris,0.004837335
Trent Murphy,-0.008534162
Trevon Coley,-0.007767389
Trey Flowers,0.049651849
Trey Hendrickson,-0.03217843
Treyvon Hester,-0.063248944
Troy Apke,0.083303288
Troy Reeder,0.088408447
Trysten Hill,0.070645803
TY McGill,0.111795047
Tyeler Davison,0.016845603
Tyler Lancaster,0.031624195
Tyquan Lewis,-0.056309004
Tyrann Mathieu,0.065216105
Tyrell Adams,0.107586668
Tyson Alualu,-0.087312516
Tyus Bowser,-0.064830817
Uchenna Nwosu,0.013220014
Ugo Amadi,-0.080019466
Vernon Butler,0.056225187
Vernon Hargreaves III,-0.178448362
Vic Beasley Jr,-0.028383933
Vince Biegel,-0.002069321
Vince Williams,-0.099371023
Vincent Taylor,-0.070687931
Vinny Curry,-0.048524844
Vita Vea,-0.026075555
Von Miller,0.0307364
Vonn Bell,-0.138424407
Walt Aikens,0.035576498
Wes Horton,0.053356374
Wesley Woodyard,-0.037108534
Whitney Mercilus,0.046901775
Will Compton,-0.113221691
Will Harris,-0.188380507
Will Parks,0.049011562
William Gholston,-0.020317195
William Jackson,-0.215396753
Xavier Woods,0.190516215
Yannick Ngakoue,0.016314603
Za'Darius Smith,-0.02970738
Zach Cunningham,-0.058693072
Zach Kerr,-0.01244512
Zach Sieler,0.02416405
